cust_id,equip_id,csa1,serial,model,manufacturer,product_type,date_installed,last_service_date,recommended_service,next_service_date,equipment_notes,warranty_policy,extended,warranty_length,warranty_type,expiration_date,warranty_notes,hide,created_at,updated_at
32,94,,0,110,AprilAire,Humidifier,07/14/1993,10/03/2016,12,10/03/2017,,,1,10 Year,Parts & Labor,07/14/1993,,0,05/24/2017,05/24/2017
26,95,,0,2400 UPGRADED!,Spacegard,Air Cleaner,06/28/1997,06/17/2010,12,06/17/2011,,,1,10 Year,Parts & Labor,06/28/2007,,0,05/24/2017,05/24/2017
38,101,,0,110,AprilAire,Humidifier,06/14/1999,06/14/1999,12,06/14/2000,,,1,,Standard,,,0,05/24/2017,05/24/2017
39,102,,G33505025,TUD060R936A1,Trane,Gas Furnace,04/21/1993,07/08/2016,12,07/08/2017,,,0,,,,,0,05/24/2017,05/24/2017
23,103,,0,21VP40E-1A,Rheem,Water Heater,10/11/1999,10/11/1999,0,10/11/1999,,,0,6 Year,Standard,,,0,05/24/2017,05/24/2017
39,104,,G46781684,BEF140C100A,Trane,Air Cleaner,04/21/1993,10/30/2010,12,10/30/2011,16x25x4,1658752,1,1 Year,Parts & Labor,04/24/2000,,0,05/24/2017,05/24/2017
39,105,,O,110,AprilAire,Humidifier,04/21/1993,08/01/2003,12,08/01/2004,,,1,10 Year,Parts & Labor,04/19/2003,,0,05/24/2017,05/24/2017
39,106,,G40731610,TXC025C4HPB,Trane,Coil,04/21/1993,08/01/2003,12,08/01/2004,,,1,10 Year,Parts & Labor,04/19/2003,,0,05/24/2017,05/24/2017
39,107,,G28232457,TTX024C100A,Trane,Air Conditioner,04/21/1993,07/08/2016,12,07/08/2017,,,1,10 Year,Parts & Labor,04/19/2003,,0,05/24/2017,05/24/2017
40,108,,K16502758,TUD100R9V5B2,Trane,Gas Furnace,06/29/1995,12/15/2016,12,12/15/2017,,1193791,1,10 Year,Parts & Labor,06/26/2005,,0,05/24/2017,05/24/2017
40,109,,K251PU3FF,TTXO3OC100A3,Trane,Air Conditioner,06/29/1995,06/03/2016,12,06/03/2017,,1193791,1,10 Year,Parts & Labor,09/29/2005,,0,05/24/2017,05/24/2017
40,110,,K05757836,TXCO37C4HPB1,Trane,Coil,09/29/1995,09/01/2003,12,09/01/2004,,1193791,1,10 Year,Parts & Labor,09/29/2005,,0,05/24/2017,05/24/2017
40,111,,K18789564,BEF200C100A0,Trane,Air Cleaner,09/29/1995,01/28/2003,12,01/28/2004,,1193792,1,10 Year,Parts & Labor,09/29/2009,,0,05/24/2017,05/24/2017
40,112,,0,110,AprilAire,Humidifier,09/29/1995,01/21/2016,12,01/21/2017,,,1,10 Year,Parts & Labor,09/29/2005,,0,05/24/2017,05/24/2017
41,113,,J42523609,TUYO8OR9V3AO,Trane,Gas Furnace,04/12/1995,02/23/2010,12,02/23/2011,Serviced 4-5-02,1168308,1,10 Year,Parts & Labor,04/09/2005,,0,05/24/2017,05/24/2017
41,114,,KO1292993,TTXO24C1OOA1,Trane,Air Conditioner,04/12/1995,08/25/2008,12,08/25/2009,Serviced AC 4-5-02,1168308,1,10 Year,Parts & Labor,04/12/2005,,0,05/24/2017,05/24/2017
41,115,,KO17415O1,TXCO31C4HPB1,Trane,Coil,04/12/1995,04/12/1995,12,04/12/1996,,1168308,1,10 Year,Parts & Labor,04/12/2005,,0,05/24/2017,05/24/2017
42,116,,K523JYX7G,TUCO8OC942B,Trane,Furnace,03/14/1996,05/13/2005,12,05/13/2006,,1306885,1,10 Year,Parts & Labor,03/12/2006,,0,05/24/2017,05/24/2017
42,117,,K2O761879,TXCO31C4HPB,Trane,Coil,03/14/1996,01/01/2003,12,01/01/2004,,1306885,1,10 Year,Parts & Labor,03/14/1996,,0,05/24/2017,05/24/2017
43,118,,R261LA57G,TUY120R9V5V3,Trane,Furnace,11/29/2000,06/17/2010,12,06/17/2011,,1929063,1,10 Year,Parts & Labor,11/27/2010,,0,05/24/2017,05/24/2017
