cust_id,csa,equip_id,start_date,end_date,term,equip_desc,total_perks,created_at,updated_at
3313,525F,8056,12/07/2015,12/06/2016,1,FURNACE,,05/22/2017,05/22/217
3396,214F,7396,11/30/2015,11/30/2016,1,FURNACE,,05/22/2017,05/22/217
3397,399,,,,,,,05/22/2017,05/22/217
3411,432,,,,,,,05/22/2017,05/22/217
3411,432,,,,,,,05/22/2017,05/22/217
3412,588A,7462,11/04/2016,11/04/2017,2,A/C,,05/22/2017,05/22/217
3412,588F,7444,11/04/2016,11/04/2017,2,FURNACE,,05/22/2017,05/22/217
3439,187F,7518,02/09/2015,02/09/2016,1,FURNACE,,05/22/2017,05/22/217
3490,369,,,,,,,05/22/2017,05/22/217
3494,449,,,,,,,05/22/2017,05/22/217
3532,114A,11324,12/11/2015,12/11/2016,1,A/C,,05/22/2017,05/22/217
3532,114O,7712,12/11/2015,12/11/2016,1,OIL FURNACE,,05/22/2017,05/22/217
3585,409A,14363,,,,,,05/22/2017,05/22/217
3585,409F,7837,,,,,,05/22/2017,05/22/217
3603,482F,,,,2,,,05/22/2017,05/22/217
3615,445F,7877,,,,,,05/22/2017,05/22/217
3615,446F,7877,,,,,,05/22/2017,05/22/217
3615,447F,7877,,,,,,05/22/2017,05/22/217
3631,354F,7909,07/13/2015,07/13/2016,1,FURNACE,,05/22/2017,05/22/217
3657,198A,11270,02/29/2016,02/28/2017,1,A/C,,05/22/2017,05/22/217
3657,198F,10214,02/29/2016,02/28/2017,1,FURNACE,,05/22/2017,05/22/217
3666,382A,8259,10/11/2016,10/11/2017,1,A/C,,05/22/2017,05/22/217
3666,382F,9680,10/11/2016,10/11/2017,1,FURNACE,,05/22/2017,05/22/217
3681,524A,8010,04/26/2016,04/26/2017,1,A/C,,05/22/2017,05/22/217
3681,524F,8009,04/26/2016,04/26/2017,1,FURNACE,,05/22/2017,05/22/217
3687,139A,8029,10/07/2015,10/07/2016,1,A/C,,05/22/2017,05/22/217
3687,139F,8028,10/07/2015,10/07/2016,1,FURNACE,,05/22/2017,05/22/217
3689,625A,8036,08/31/2016,08/31/2017,1,A/C,,05/22/2017,05/22/217
3689,625F,8788,08/31/2016,08/31/2017,1,FURNACE,,05/22/2017,05/22/217
3698,140A,8935,10/29/2015,10/29/2016,1,A/C,,05/22/2017,05/22/217
3698,140F,8068,10/29/2015,10/29/2016,1,FURNACE,,05/22/2017,05/22/217
3711,477F,10916,10/28/2016,10/28/2017,1,FURNACE,,05/22/2017,05/22/217
3716,384,,,,,,,05/22/2017,05/22/217
3750,453A,8237,,,,,,05/22/2017,05/22/217
3750,453F,8236,,,,,,05/22/2017,05/22/217
3775,448,,,,,,,05/22/2017,05/22/217
3778,291A,8329,01/28/2016,01/28/2018,2,A/C,,05/22/2017,05/22/217
3778,291F,8328,01/28/2016,01/28/2018,2,FURNACE,,05/22/2017,05/22/217
3781,565A,15045,09/30/2016,09/30/2017,1,A/C,,05/22/2017,05/22/217
3781,565F,8338,09/30/2016,09/30/2017,1,FURNACE,,05/22/2017,05/22/217
3791,124A,8365,01/24/2017,01/24/2018,1,A/C,,05/22/2017,05/22/217
3791,124F,8364,01/24/2017,01/24/2017,1,FURNACE,,05/22/2017,05/22/217
3815,577A,8845,09/09/2016,09/09/2017,1,A/C,,05/22/2017,05/22/217
3815,577F,8430,09/09/2016,09/09/2017,1,FURNACE,,05/22/2017,05/22/217
3838,579A,,,,1,,,05/22/2017,05/22/217
3838,579F,8465,,,1,,,05/22/2017,05/22/217
3876,226O,8544,02/09/2016,02/09/2017,1,OIL FURNACE ONLY,,05/22/2017,05/22/217
3907,284A,8820,04/28/2016,04/28/2017,1,A/C,,05/22/2017,05/22/217
3907,284F,8609,04/28/2016,04/28/2017,1,FURNACE,,05/22/2017,05/22/217
